,x
1,PGC
2,CTSE
3,TFF2
4,SPINK1
5,TFF1
6,FABP6
7,COL10A1
8,ANXA10
9,ITLN1
10,AKR1B10
11,RSPH3
12,LGALS4
13,GPX2
14,VSIG2
15,DEFA5
16,COMP
17,GSTA1
18,SULT1B1
19,CDKN2B
20,VCAN
21,CXCL14
22,KLK10
23,PDLIM3
24,POSTN
25,CGREF1
26,PCP4
27,VSIG1
28,COL8A1
29,ELN
30,SFRP4
31,KANK4
32,THBS4
33,SULT1C2
34,ADH1C
35,MUC6
36,SSC5D
37,ITGBL1
38,CILP
39,THBS2
40,FABP4
41,MTUS2
42,MMP1
43,CLEC11A
44,CA2
45,A4GNT
46,SUGCT
47,COL8A2
48,CXCL5
49,ANKRD26
50,OMD
51,AKR1B15
52,APLF
53,MGP
54,PLXDC2
55,BAHCC1
56,PDGFD
57,PKIG
58,UBXN10
59,RTTN
60,RNASE1
61,HSPB7
62,ADH1B
63,BCAS1
64,HOPX
65,DUOX2
66,REG1A
67,TNFSF13
68,CTHRC1
69,PDGFA
70,SCARF2
71,THBS1
72,IL17D
73,TIMP3
74,FGF7
75,MFAP4
76,HEPH
77,PMP2
78,MFAP5
79,OLFM4
80,COL11A1
81,LTC4S
82,EFEMP2
83,TPPP
84,LRRC15
85,PRAP1
86,EFEMP1
87,MMP7
88,MMP23B
89,EVA1A
90,SPP1
91,ISLR
92,EBI3
93,TNFRSF6B
94,EPDR1
95,PSCA
96,LECT2
97,KLK6
98,EMILIN1
99,LBH
100,GREM1
101,IGSF10
102,C1QTNF3
103,PTGIS
104,ALDOB
105,MMP28
106,ALDH3A1
107,SFRP2
108,RFLNA
109,PRPH
110,SSX2IP
111,SYNM
112,TAGLN
113,SRPX2
114,GPX3
115,FBLN1
116,NTM
117,BICC1
118,AHNAK2
119,IGF1
120,FHL1
121,TREM2
122,STAP1
123,CORO2B
124,LOXL1
125,SPRR1B
126,AOC3
127,CILP2
128,MAMDC4
129,BGN
130,GPC6
131,C1QTNF5
132,MRGPRF
133,FBLN5
134,LTBP2
135,NEGR1
136,LYZ
137,DES
138,FRZB
139,RNF17
140,HTRA3
141,CNN1
142,GAS1
143,FBN1
144,SPACA3
145,NGFR
146,COL5A1
147,CEP120
148,PRELP
149,DPYSL3
150,SNED1
151,KRT16
152,CXCL12
153,ITIH1
154,MXRA8
155,PLAC9
156,RNF11
157,NDUFA11
158,APCS
159,PRRX1
160,TMEM119
161,CSRP1
162,FN1
163,PDLIM7
164,SORBS1
165,CA3
166,COL3A1
167,FMO1
168,ARMCX1
169,HTRA1
170,PLA2G2A
171,ASPN
172,PPP1R12B
173,PODN
174,CYBRD1
175,AKAP12
176,NDP
177,GSDMB
178,NEXN
179,SGCE
180,AEBP1
181,IGF2
182,ADAMTS16
183,MEGF6
184,SOD3
185,CCL19
186,MAGEA4
187,ADCY9
188,CLIC3
189,TESC
190,SRPX
191,ACTA2
192,SPARC
193,SGCD
194,FILIP1L
195,LUM
196,PCOLCE
197,ITGA11
198,PRICKLE2
199,IRAG1
200,LRP5
201,MPZ
202,CD6
203,FBLN2
204,SERPINE2
205,MSRB3
206,ENPP1
207,CALB1
208,ACTB
209,VIP
210,CCDC80
211,SPHK2
212,DDR2
213,CST6
214,PRKD1
215,CEBPE
216,RCN3
217,RERG
218,COL15A1
219,SCG2
220,SYNC
221,SYNPO2L
222,CCN2
223,CPXM2
224,STK17A
225,DKK3
226,PLD4
227,MXRA7
228,MFAP2
229,CYSTM1
230,MYL9
231,ADAMTS4
232,ERVK-21;HERVK_113
233,PODNL1
234,ABAT
235,LRP1
236,LEFTY2
237,SYNPR
238,INHBB
239,DACT2
240,COL16A1
241,VEGFB
242,RGN
243,WNT2
244,SPMAP2
245,CLMP
246,EDIL3
247,THBS3
248,CRYAB
249,SULF1
250,GASK1B
251,SPON1
252,CSF1R
253,RTN1
254,FIBIN
255,FABP3
256,MAP1LC3A
257,C11orf96
258,GFRA1
259,RBMS3
260,DPT
261,TYROBP
262,GPNMB
263,TGFB1I1
264,ADAMTS12
265,CRNN
266,RAB6B
267,LGALS1
268,CACNA1B
269,SDC2
270,HSPB6
271,INHBA
272,HPGD
273,ADAM12
274,TNS1
275,CCDC28A-AS1
276,LIN7B
277,SPOCK1
278,XDH
279,MIA
280,LOX
281,PGM5
282,ANG
283,SBSN
284,CPZ
285,SBSPON
286,SYNPO
287,CDH11
288,CYP1B1
289,HMGCS2
290,MMP2
291,CYP2S1
292,SALL3
293,TPSB2;TPSAB1
294,EEIG1
295,GAL3ST4
296,IGFBP7
297,SPRR3
298,MRC2
299,ICOSLG
300,FRMPD1
301,SYNPO2
302,TSPYL5
303,SMTN
304,LTBP3
305,METRNL
306,CES2
307,VGF
308,TCEAL5
309,CUL9
310,FXYD1
311,CYS1
312,PHLDB1
313,CRISPLD2
314,CNRIP1
315,CNTN1
316,CCDC74B
317,CSDC2
318,ADGRA2
319,GPRC5B
320,VSNL1
321,COL4A5
322,LINC00482
323,GGT5
324,ABI3BP
325,CPA3
326,OGN
327,CTSH
328,TSPAN8
329,CMA1
330,UCHL1
331,CHRD
332,DCN
333,PRNP
334,WNT2B
335,PLIN1
336,JAM3
337,GCNT3
338,GUCY1A1
339,UGT1A6
340,PDLIM4
341,HS3ST1
342,LTBP1
343,SARM1
344,COL1A1
345,PLSCR4
346,CDH13
347,NAALADL2
348,CALD1
349,CYTH3
350,ACTA1
351,SH3BGRL
352,CDHR2
353,PDGFRB
354,PRRX2
355,COPZ2
356,RAB23
357,MAP1LC3B2;MAP1LC3B
358,PPP1R14A
