"","MS_U_06","MS_U_09","MS_U_14","MS_U_43","MS_U_60","MS_U_63","MS_U_73","MS_U_97","MS_U_112","MS_U_115","MS_U_129","MS_U_130","MS_U_131","MS_U_132","MS_U_133","MS_U_134","MS_U_135","MS_U_136","MS_G_21","MS_G_33","MS_G_75","MS_G_82","MS_G_109","MS_G_132","MS_G_137","MS_G_138","MS_G_139","MS_G_140","MS_G_141"
"ACTG1",21.26657104,21.17229271,21.06914139,21.633564,22.04102325,21.67284775,21.92993164,21.12864494,21.57046318,21.14830208,22.14814949,21.77545929,22.26895905,21.32599258,21.37561417,21.84928703,21.20920181,21.62233353,22.22000694,21.93486786,22.08973312,22.05759621,21.39208412,21.53595543,21.96680832,21.34930038,22.4426384,22.48377037,21.83155632
"H4C16",20.75943947,20.90710831,22.04637337,20.71996117,20.68851089,20.95847702,21.36102676,20.4256897,21.40883636,21.2194767,20.7485466,20.65465927,20.79002571,21.54931641,21.50890923,21.70654869,21.43063927,21.15108299,21.06853867,20.71951485,21.48294258,21.84669876,20.80353165,21.62726402,22.60499001,20.82344437,21.78181648,20.65268135,22.14935303
"ALB",19.75190735,19.75129128,21.2555275,19.65413666,21.29681969,20.20666313,19.90332222,20.37335777,19.33710098,20.55820847,20.9389019,19.25098801,20.18298912,20.87833977,20.50590515,21.7313633,19.61968803,20.28994751,21.01189423,20.96473694,20.19042397,20.70142365,20.21541405,19.86939621,19.84070396,20.19920731,20.5005188,20.51353645,19.56824875
"HBB",20.2962265,19.60686874,20.84106255,19.62122154,21.94458389,21.2245388,18.13439178,21.59239769,19.59183311,19.35217094,20.41969872,18.9050293,20.06757355,20.63682938,19.27697372,20.97650528,21.69829941,21.46382141,20.00041199,22.31183052,21.76488495,21.55217743,19.23200417,18.67543983,19.14121246,19.28345299,19.86766052,19.52869415,19.95507431
"VIM",19.13586998,20.16707039,18.68272972,20.51112556,19.87916946,20.40086174,19.70853424,20.48325729,19.57979202,19.3151989,20.05519867,19.45582008,20.33904457,18.40075302,18.24999809,21.23319817,20.34295654,19.7916069,20.58976555,20.44002914,20.97776222,20.8569088,20.18517685,21.1364975,21.01813889,20.91274643,21.23957062,20.02487564,20.69551277
"H2AC8;H2AC25",20.30415535,20.13988876,20.94761848,20.17195129,20.26506424,20.55118752,20.6760025,19.69712067,20.77580643,20.8893528,19.73597145,19.58983803,19.99947548,20.31846809,20.80693436,21.01610756,20.60121536,20.37147903,20.45856094,19.86025429,20.67661476,20.98950768,20.18382454,21.08323669,21.66952133,20.4167366,21.07760048,19.98749924,21.15444565
"DEFA3",18.18884659,19.38393974,23.90202713,19.48246002,18.18185043,20.77970123,23.48911285,18.40117073,22.11987686,18.40032578,21.7546463,22.43273926,21.20302391,23.70762062,17.66778564,21.70518875,18.89186668,19.76880836,18.7097702,22.29848671,23.22044182,17.71788597,21.228405,21.72286034,18.42122841,16.74687958,18.10005569,21.54995537,22.73881531
"COL1A1",18.59387207,19.01838684,16.6545639,17.44908524,20.15764999,20.01919746,18.65945625,19.85351563,18.26858902,19.19246292,19.59594917,18.47317886,19.79874992,15.0371294,17.72439957,22.64022636,17.58126259,19.51233101,19.85841751,19.07483482,19.14800453,19.73304558,19.56744003,20.12127876,21.30315971,19.25304222,20.46811867,18.97458458,20.21744537
"H2BC21",19.74008179,19.5792408,20.2369442,19.61425018,20.05504799,20.00668526,19.67650795,19.13596344,20.21376419,20.2323513,19.44353104,19.42358208,19.56341743,19.966959,20.23994637,20.3660202,19.8495388,19.82717133,19.90268135,19.47203255,19.78503418,20.63775253,19.49317169,20.00793839,20.96688843,19.46685982,20.33168602,19.45098877,20.15132904
"HBG1",18.50187683,18.38473129,21.11403656,17.14855003,21.85911942,19.62699699,18.37407303,21.16337967,18.46461678,18.20256233,19.58091927,18.57005692,18.37075996,18.86560249,18.1563282,20.39465141,20.9796505,20.03479767,18.08850098,21.30291748,21.26265717,20.99478149,18.39814568,17.37934875,18.62685585,17.22343445,18.12631035,18.10929871,19.91571999
"TUBA1B",19.30659103,19.57588196,19.1048336,19.47310829,19.56250572,19.54014587,19.32114029,19.73913193,19.38435936,19.49119949,19.62419891,19.53988647,19.65885735,19.76877213,19.39834976,19.73607254,19.54042435,19.97388458,19.27721214,19.35029793,19.39314842,19.08179474,19.68570709,19.67407417,19.51733398,19.55162621,19.63876915,19.20981598,19.46300697
"LUM",17.9442482,17.96564674,16.47009468,17.50425339,19.66477203,19.36594963,17.18124962,17.84004593,17.39194679,17.52277756,18.89763641,17.33684731,18.74302292,14.83637714,17.13339043,19.94747543,16.37352371,18.25535011,19.91930962,18.8115654,19.03263092,19.76432037,18.22888374,19.45963669,19.00815964,18.38288307,20.12860489,18.79203415,18.01229858
"ACTA2",18.16004753,17.39867401,14.57373428,18.71648598,20.5413475,19.383255,17.63498497,17.73789597,16.79563141,16.27770233,19.65293503,18.42707825,20.41964531,14.66192532,16.51294327,18.42606926,16.78282738,19.36994743,20.39748192,19.99837685,19.45602417,19.67965889,17.28816414,18.36850548,19.664217,17.4390316,20.86418343,20.9373951,17.82273674
"HBA2",18.82940292,18.34064865,19.59815407,18.25660706,20.75842857,19.66253281,17.21700668,20.42625427,18.22433281,18.16991997,19.16529846,17.74244499,18.80917168,19.38611031,18.07927895,19.76989555,20.31264687,20.24412537,18.70127678,21.05192566,20.31715775,20.32422638,17.93433762,17.69468689,18.37054825,17.88212395,18.50049019,18.49587059,19.2821064
"S100A6",19.17110634,18.93211555,19.55601501,17.53361511,18.74721527,18.34338188,18.14054871,18.79667664,18.6733036,19.56653976,18.54636002,19.67438889,19.00359154,18.36398506,19.05676651,19.1961689,17.91098595,19.02828026,18.45770645,17.83838272,19.24471283,19.04948807,18.61141777,18.9021244,19.7079525,19.72946739,19.11535835,18.20585632,19.70692825
"MYL6",18.48629951,18.04549217,17.59366035,18.65590477,19.01346016,19.0010128,18.25257301,17.63149834,18.2773819,17.61155128,18.40489578,17.70225525,18.55992126,17.53519058,17.99777794,18.11501312,17.68298149,18.28414917,19.2798996,18.60178566,19.11926079,19.06364632,17.62561035,18.3145237,19.02599525,17.97808456,19.74523163,19.33023834,18.41168022
"H3-3B",18.68735504,18.39483643,19.59339142,18.41085815,18.94504738,18.96392822,19.11126709,18.22912979,19.13463783,19.18743324,18.63431358,18.49736786,18.59423256,19.27017784,19.27819061,19.08345604,18.95783424,19.02062607,18.97266197,18.27752686,19.09413528,19.54733467,18.65810966,18.95771027,20.0068779,18.11393356,19.23468781,18.24013138,19.57511902
"HSPB1",19.23319817,17.76900101,16.87794113,17.59090424,18.75815964,19.03708076,17.68417549,18.7695694,18.43121338,19.42534637,17.58856392,17.27613258,18.7722683,17.7654438,19.40096474,18.7905426,17.14802742,18.49794579,18.854002,17.54335594,18.11138344,18.70014572,18.43936539,18.36943245,19.82473564,18.03387642,19.51177406,18.05082512,18.7997303
"COL1A2",17.48497009,17.52915573,15.30739975,16.30004692,18.59550476,18.58371162,17.33839226,18.33197021,16.8725605,17.60273361,18.03626633,16.96588516,18.29880333,15.60476017,16.51537514,21.07026863,16.24773598,18.05966949,18.55957222,17.57635689,17.83622169,18.23978043,18.65455818,18.90855789,20.11231041,18.34822845,19.37259102,17.64600372,18.80534935
