,MS_G_01,MS_G_02,MS_G_03,MS_G_04,MS_G_05,MS_G_06,MS_G_07,MS_G_08,MS_G_09,MS_G_10,MS_G_11,MS_G_12,MS_G_13,MS_G_14,MS_G_15,MS_G_16,MS_G_17,MS_G_18,MS_G_19,MS_G_20,MS_G_22,MS_G_23,MS_G_24,MS_G_25,MS_G_26,MS_G_27,MS_G_28,MS_G_29,MS_G_30,MS_G_31,MS_G_32,MS_G_34,MS_G_35,MS_G_36,MS_G_37,MS_G_38,MS_G_39,MS_G_40,MS_G_41,MS_G_42,MS_G_43,MS_G_44,MS_G_45,MS_G_46,MS_G_47,MS_G_48,MS_G_49,MS_G_50,MS_U_01,MS_U_02,MS_U_03,MS_U_04,MS_U_05,MS_U_07,MS_U_08,MS_U_10,MS_U_11,MS_U_12,MS_U_13,MS_U_15,MS_U_16,MS_U_17,MS_U_18,MS_U_19,MS_U_20,MS_U_21,MS_U_22,MS_U_23,MS_U_24,MS_U_25,MS_U_26,MS_U_27,MS_U_28,MS_U_29,MS_U_30,MS_U_31,MS_U_32,MS_U_33,MS_U_34,MS_U_35,MS_U_36,MS_U_37,MS_U_38,MS_U_39,MS_U_40,MS_U_41,MS_U_42,MS_U_44,MS_U_45,MS_U_46,MS_U_47,MS_U_48,MS_U_49,MS_U_50
ACTG1,21.26945305,22.0169754,21.89172745,21.67417717,21.69164276,21.9181385,21.49596596,22.03666115,21.9659481,21.9958477,21.77104759,22.26465988,21.71324158,22.03751945,21.81844139,22.06575012,22.16438675,22.1437645,21.94902992,22.36255264,22.07102776,21.76296043,21.83562469,21.73077202,22.62326431,22.0773735,21.73743629,21.87162399,21.91491127,22.22975731,21.91917419,22.07589912,22.46404648,22.17595673,21.90943146,22.06396294,22.55383682,21.50324249,22.37162018,21.84517479,22.14019012,21.6442337,22.08715439,22.31710243,22.24081802,21.39322662,22.02351952,22.17033768,21.73953056,21.91766167,22.33520317,22.07842445,21.39902687,21.91899681,21.81269646,21.76369667,21.47539902,21.91827393,21.33267593,21.42326164,21.87154198,21.72973442,21.57191658,21.48757744,21.45724487,22.12464714,21.11331558,21.09102249,21.01999092,21.77545547,21.17250252,20.88901711,21.40042686,21.45553398,21.67149353,22.08475494,21.74624443,21.8459549,21.87032127,21.63645744,21.48720932,21.49061775,21.64721107,21.32284355,20.84486961,21.4018364,21.34440613,21.99064827,21.83064079,21.38319588,21.37442398,21.09204292,21.71057892,21.65974045
H4C16,21.87395477,20.52933121,21.92660141,20.77620888,20.57409096,21.76525879,21.48970413,21.35206795,20.84102821,21.47423744,20.96876335,20.87998772,21.14462852,20.11687851,21.78722191,20.25355148,21.36884308,21.60195351,21.37462044,20.95306206,20.19988441,21.02835464,20.91984749,21.42932892,22.11736298,21.14515114,19.94254112,22.0682869,21.52074623,20.16339493,20.93644905,21.18019485,21.35786819,21.24205017,21.39513206,20.46645355,23.01023293,20.88546562,20.89176369,20.20286369,21.25164604,20.99138832,21.78601456,20.94599342,20.52496338,20.98052216,20.86320496,21.06958771,21.38130379,21.73771095,21.31583786,21.27207375,21.01180077,21.87073517,21.74674225,20.38019753,21.09793472,21.96479416,21.26220512,21.66155052,20.6575985,20.81731987,20.42416954,20.83731079,20.51239204,21.03841782,21.43708229,20.94086266,21.3479805,21.77673912,21.31897736,21.62348747,20.87553978,21.19095421,20.95837975,21.09786034,20.84953308,20.8764534,21.0747242,21.02681732,20.76147461,21.09487534,21.50801659,21.32995033,21.46710205,21.38622284,20.86939049,21.19257927,20.72011375,20.75194359,21.22953224,22.43237877,21.28460121,21.21099663
ALB,18.21571159,20.49813843,19.80632973,19.77692795,19.73644638,20.53305244,20.50093269,19.90906906,19.9285965,20.25276756,19.84217644,19.8367939,19.82800293,21.24589157,19.82378578,20.64410591,20.5459919,20.4712162,20.15848923,21.02683258,18.91902161,19.58447266,20.06423569,19.85120392,20.54857254,20.5402317,21.75210762,19.33765793,20.04243088,20.67368507,19.90893173,20.34082794,20.8006134,20.41565514,20.37161446,21.72149086,20.34201813,19.46137047,20.83766556,20.7488842,20.04250336,20.15075684,19.84117889,20.24355888,20.27826309,20.80879211,19.98577118,19.88921165,19.58374214,19.15272903,20.3723793,19.54917145,20.73284531,20.17007065,19.40550995,20.83643341,19.49238014,19.35340691,19.53930664,19.0949173,21.66293907,19.61690903,20.4335537,19.6819458,19.28476715,21.05323601,19.53314018,19.31957054,20.78352928,19.73973846,20.03606033,18.95213699,19.72706032,20.04523468,19.99129486,20.64382362,20.90962791,20.19327927,20.74362755,19.30223083,19.61101723,20.86905098,19.51296806,19.24284744,19.98578835,19.23843384,19.76349831,20.9483242,20.65216827,20.39920998,19.94211006,17.87878036,19.82337952,20.06957054
HBB,18.73041725,21.16334343,19.35988808,19.44636917,19.36349106,20.33530426,19.24030495,19.5832119,20.34420204,20.30208206,21.12934875,20.35891151,19.03179932,19.03792572,19.06535339,20.31609344,20.39393616,20.33209801,19.54047203,20.77815628,19.99310112,18.58898163,20.30386543,19.11139488,17.98091507,19.69276619,21.46199608,19.5041523,19.28968811,20.71938515,20.40526199,19.57937431,20.44072151,20.16896629,19.20845222,20.05421066,21.09467888,18.95634842,20.50936699,21.29779816,19.3354969,19.07625198,20.21627808,19.92478943,21.43013763,19.1128273,18.92644882,19.78634453,20.45560265,19.73695946,21.70479965,19.38685036,20.28777885,20.03534126,19.20820618,21.37964821,21.15789223,20.36494827,20.66128922,19.1962738,20.50346565,19.95118713,20.16495895,18.02152634,21.01465416,20.4854641,18.97494698,19.85512924,20.23846436,19.6569252,20.18080521,20.85392189,20.25613594,20.92321777,19.88399696,21.21918297,19.25089455,19.46376038,20.68044662,19.04990578,19.81645584,19.38331985,19.28258705,19.25357246,20.54644585,19.79133224,21.71044922,20.03074265,19.56861305,20.57642937,18.73896027,19.319664,20.02059746,20.36750603
VIM,19.3203373,20.25371742,20.53583145,19.75259018,20.30021477,20.84258652,20.51401138,20.81505013,20.48917007,21.01414108,19.83942223,20.04117966,20.2179985,20.56046486,20.4137249,20.32202721,20.79084587,20.75773621,20.5795536,20.3261776,19.78831673,20.10453033,20.46735191,20.56617546,21.13039398,20.91272926,20.42406273,20.25780296,20.67473412,20.65830994,20.40649033,20.86576843,21.03163338,20.45345879,20.78890419,20.58498764,21.4515686,19.79654312,21.17421913,20.08825874,20.65502548,20.20434952,20.8687439,20.47669411,20.62275887,19.77764511,20.62763977,20.45429039,19.09737778,20.31416893,20.46639633,19.82034492,20.24037361,20.74073029,19.84000397,19.57966232,19.93737411,20.10174751,19.45837593,19.50048637,20.33023834,19.59837341,19.76462364,19.40994835,19.38326454,20.25427246,19.31812477,19.18934631,19.95979691,20.51362801,18.92900467,19.20438385,19.68433571,19.84721756,20.33914185,20.18440247,20.28873444,20.03106499,19.97333145,19.80615234,19.62788963,19.76986504,20.18196297,19.22623062,18.65390587,19.72961998,19.24039078,20.01712608,20.020298,19.59617233,19.37790871,18.97641754,20.13655472,19.83812904
H2AC8;H2AC25,20.56329346,19.71937752,20.61952591,20.23156357,20.07776451,20.71325111,20.35485077,20.5000515,20.03381157,20.59685707,20.37734985,20.3208046,20.32976723,19.72766876,20.80482864,19.68362999,20.52697945,20.92601204,20.60957146,20.19315529,19.82256508,20.50534821,20.56843948,20.82406998,21.00788116,20.70793915,19.66888428,20.93153381,20.99863052,20.12506866,20.29282188,20.46326256,20.43906021,20.40427589,20.60157776,19.64345169,21.99614716,19.98947144,20.18202019,19.40538216,20.27830124,20.44576263,20.7630558,20.13084602,19.92314529,20.38216019,20.15915489,20.01942825,20.74523544,20.71076965,20.59218216,20.67740059,20.33726311,20.81024551,20.49879456,19.77329254,20.26023674,20.90023041,20.3145504,20.80020905,20.03373718,20.38729477,19.78756905,20.38305473,20.69458961,20.51617813,20.88581848,20.35270882,20.67024231,20.7896347,20.65478897,20.56506729,20.15474319,20.4107132,20.10593414,20.42836571,19.98034668,20.42762947,20.29409981,20.22209167,19.96127319,20.37079048,20.90145302,20.38284492,20.52840996,20.50720978,19.95757675,20.48121834,19.97984314,20.24632454,20.35373878,21.16096115,20.39304161,20.56915665
DEFA3,22.2407093,19.27483559,23.02514839,20.84985542,17.24675179,21.6811924,21.63864517,18.76623917,19.85550499,20.81671906,21.1540432,23.35112762,22.44721222,22.06962204,19.53419685,21.0761013,19.35407639,24.31081963,23.104496,23.17724991,18.65730286,17.65635681,22.54460526,21.84788132,24.51508522,22.77737427,18.80483437,22.47298813,19.08829117,18.28537941,19.08978081,18.93318558,21.53355408,23.63383102,23.10024834,18.95420647,19.19711876,22.21343613,20.99474716,21.55565071,23.36737061,18.35915184,22.69019699,21.24489594,19.22392464,21.69031334,20.43627357,21.26571465,23.28824997,23.7530632,21.14043999,22.26482773,20.88505936,22.77105331,22.11608696,20.29485703,19.71796036,23.99976158,18.3982048,18.33728981,19.63720894,17.92717934,19.80945587,21.51599503,19.88884926,23.44018745,17.56264496,21.46863365,19.50883865,19.2070446,20.67808342,17.31850624,19.09799576,20.53580093,20.82182312,21.52981186,19.41024017,21.87690163,22.884058,19.46946144,22.47445107,17.42507935,20.44355583,20.47662735,21.71479988,19.15242386,22.60636139,23.02282906,19.44199562,20.94782448,19.9244976,21.56107903,20.72280884,19.40381622
COL1A1,17.63134193,18.94138718,19.46653748,18.75635338,19.25893593,20.40978241,19.10596275,19.15308189,19.03787613,20.23114967,19.3556881,18.61695862,18.42040062,19.29056931,19.48996735,19.17918015,20.30128098,19.90953445,19.99810219,19.77330208,17.96403885,19.53821373,19.24897766,19.28040695,19.56702042,19.88716125,21.31094933,19.1529007,19.38148117,20.47846031,19.7136631,19.28329468,19.90503311,20.12725258,19.65129662,19.10303688,19.28788567,19.11733055,20.30139351,19.23062515,19.34197998,19.91581154,19.71272087,19.01400375,18.77754021,19.19223213,19.57674599,19.14534378,17.17805481,19.00131035,18.47042274,17.70318794,19.97385216,18.0994339,17.78869057,19.01521873,18.01995277,18.00384331,19.29687119,18.54989433,20.07620239,18.39175415,18.74810982,18.51004791,18.0677681,19.43669128,19.45488739,18.19363022,19.21012688,18.5516758,17.61430359,17.43162537,19.43900681,19.54152489,19.45708847,19.80909729,18.36594772,18.95062256,19.2405529,18.29268265,17.98126602,18.10811424,19.16005516,17.99733734,16.586586,18.96101189,17.53173828,18.67629814,17.82318306,18.31369209,18.73963928,17.00382805,19.00245094,18.89937973
H2BC21,19.89494896,19.04764175,19.73758507,19.49847603,19.49212646,19.90883446,19.51024818,19.69202805,19.37743378,19.94666481,19.4960537,19.54290009,19.63317871,18.87370682,19.80765343,19.2855854,19.85443115,20.29597092,19.81706047,19.50629997,19.17005539,19.78856468,19.68880463,20.05133629,20.25867462,19.99743271,19.36704254,20.00299644,20.13512421,19.49536514,19.72748756,19.74969292,19.83921814,19.80437279,19.65029144,18.88300705,21.22849846,19.43496704,19.68856239,18.97331047,19.78287315,19.99165154,20.04317284,19.52279091,19.32795334,19.76782608,19.53735161,19.44491005,19.91298866,19.77502632,19.91213799,19.86455345,19.6838665,20.01581192,19.90327263,19.31194115,19.5922718,20.11231232,19.82413673,19.99834061,19.50666428,19.75453377,19.36561012,19.71557045,19.77669525,19.93463516,20.22550964,19.79267502,19.99734497,20.2684803,20.15205193,20.15616035,19.59462166,19.77813148,19.58044052,19.93518448,19.18471527,19.70730972,19.7972908,19.71500397,19.28047371,19.66315842,20.1268959,19.63285255,19.76680374,19.83069992,19.62376213,19.89377785,19.49972534,19.67337418,19.82119179,20.25892448,19.8010788,20.03227806
HBG1,17.91489029,19.5470562,17.75009346,18.63331032,19.51453209,18.72785378,20.28675079,18.15683746,19.12711525,18.83237839,20.0835247,20.14542389,17.71044159,17.14995575,18.13956451,18.52678108,18.06682205,20.03156853,18.17374992,21.05557632,18.2473278,18.0051384,19.35010719,17.44166756,16.8179512,19.22532082,19.29990387,18.43233109,18.42282486,19.96251488,18.50234413,18.62773514,18.32978821,21.13839531,18.36286926,19.05513382,21.40678406,17.65406418,19.56058884,20.68445969,18.90877342,17.28589249,18.67375183,18.27173615,19.21267891,18.68751335,17.04195595,18.64604378,20.13968468,20.21784973,22.40861511,18.3853054,20.08878136,18.78586006,17.96364403,20.82100868,19.56732178,18.98561668,18.33568573,18.64615822,19.79067802,20.52548218,18.85174751,17.31591225,21.75605011,20.99080658,18.64378166,18.361269,19.80606461,18.17448807,18.591465,20.62089729,18.0890789,20.52534866,19.49353218,21.09265137,18.58358765,18.38755417,20.26170158,16.78952026,19.54613876,18.58279228,19.33726311,19.25084305,19.77365303,20.01840973,20.84684181,18.59498405,19.19735146,19.08949471,18.22207642,18.72046852,18.65484428,19.09713554
